PROC_TRACEINFO,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value
811,179.6,160.97,150.4,114.91,12.07,12.25,,11.98,6.6,20.89,23.3,100.73,6.61
812,149.8,153.76,171.5,112.43,11.9,12.19,,11.97,6.64,25.87,13.3,97.51,6.62
813,162.2,170.95,164.9,114.14,12.06,12.17,,11.97,6.62,22.33,15.1,97.76,6.61
814,162.8,151.21,163.9,113.52,12.13,12.26,0.4,11.97,6.41,18.49,17.6,80.63,6.41
815,158.5,167,156.9,117.25,11.93,12.15,,11.98,6.62,28.94,34.2,99.09,6.62
816,166.2,154.93,172.5,114.91,11.82,12.35,0.4,11.97,6.61,24.63,13.5,97.53,6.61
817,163.7,174.09,162.3,110.72,12.06,12.36,,11.97,6.62,23.01,12.9,107.59,6.6
818,185.5,158.94,153.6,113.67,11.83,12.3,,11.97,6.6,26.07,15.1,102.37,6.61
819,131.5,166.39,167.5,114.24,11.93,12.26,,11.97,6.62,28.21,13.4,96.17,6.6
820,162.9,143.59,146.1,113.66,11.86,12.24,0.27,11.98,6.64,23.31,14,94.17,6.6
821,176.3,157.06,194.6,112.39,12.05,12.18,0.39,11.97,6.42,22.49,24.9,104.85,6.41
822,149.3,167.64,156.9,104.62,11.89,12.26,,11.97,6.61,21.34,22,86.35,6.61
823,169.4,147.26,173.2,113.04,11.86,12.22,,11.97,6.62,26.54,21.3,102.83,6.61
824,174.9,154,173.7,106.77,11.91,12.18,,11.97,6.64,22.74,19.4,90.88,6.61
825,161.9,159.25,158.8,114.1,11.82,12.29,0.41,11.97,6.62,22.69,12.1,89.37,6.63
826,198.1,162.17,180.6,115.07,11.77,12.25,,11.97,6.09,23.78,21.5,93.03,6.6
827,155.7,147.77,156.8,116.3,11.87,12.31,0.41,11.97,6.61,25.31,17.3,98.18,6.62
828,159.1,160.9,161.6,116.27,12.1,12.26,,11.98,6.6,24.42,15.8,101.31,6.6
829,187.8,166.83,150.9,119.93,11.84,12.23,,11.97,6.6,28.45,17.1,104.66,6.63
830,163.7,150.76,166.2,113.56,11.85,12.31,,11.97,6.61,25.81,15.6,105.06,6.62
831,162.8,145.67,164.5,117.09,12.12,12.29,0.41,11.97,6.4,19.35,9.7,83.27,6.41
832,162.1,154.53,155.3,116.15,12.11,12.24,0.4,11.97,6.4,19.98,15.4,80.09,6.41
833,154,176.98,154.3,110.32,12.06,12.17,,11.98,6.61,26.6,20.2,103.47,6.64
834,181.4,152.71,173.8,117.02,12.11,12.21,0.37,11.97,6.42,19.79,14.6,99.4,6.41
835,139.5,176.69,135.9,109.3,12.05,12.15,,11.97,6.6,24.47,16,106.76,6.62
836,150.6,152.08,161.8,105.75,12.03,12.34,0.41,11.97,6.41,22.69,12.2,100.74,6.41
837,147.1,161.34,129.8,117.65,12.08,12.17,,11.97,6.63,24.76,15,104.12,6.61
838,161,167.28,181.3,110.65,11.83,12.45,,11.97,6.61,26.3,16,101.26,6.61
839,156.9,150.56,156.9,106.51,11.92,12.36,,11.97,6.62,21.73,11.6,93.24,6.6
840,151,147.21,152.1,114.59,12.11,12.3,0.35,11.97,6.4,20.35,12,97.97,6.41
841,166.9,172.59,176,110.86,12.06,12.21,,11.97,6.62,22.13,13.2,98.98,6.6
842,155.3,148.77,136.7,119.26,12.02,12.24,,11.97,6.62,23.76,12.7,105.68,6.6
843,170.4,157.03,148.6,116.14,11.84,12.17,0.34,11.97,6.61,25.88,21.8,95.15,6.63
844,147.7,154.27,160.3,113.88,12.13,12.24,0.36,11.97,6.41,18.53,15.9,81.98,6.42
845,160.4,147.23,153,113.17,12.12,12.31,0.39,11.97,6.4,18.65,13.6,83.68,6.4
846,146.5,159.95,178.9,115.83,11.82,12.2,0.38,11.97,6.61,23.27,18,97.69,6.61
847,138.2,165.18,147.6,115.75,11.81,12.35,0.38,11.97,6.61,27.31,12.1,108.39,6.62
848,166.1,157.55,157.2,115.37,11.95,12.35,,11.97,6.62,25.57,10,107.77,6.65
849,170.2,160.55,153.8,117.33,12.1,12.31,,11.97,6.6,25.28,32.4,100.6,6.6
850,164.7,159.64,149.2,110.6,11.89,12.26,,11.97,6.62,21.89,16,90.56,6.62
851,154.9,133.25,141.8,109.79,12.04,12.27,0.41,11.97,6.41,23.91,12.8,101.51,6.41
852,197.1,164.31,192,116.52,11.82,12.35,,11.97,6.6,25.84,15.6,103.92,6.61
853,133.6,173.46,143.9,121.04,12.06,12.15,,11.97,6.6,23.86,16.7,105.49,6.6
854,172.5,158.74,161.9,118.03,12.1,12.14,,11.97,6.64,25.81,29.7,103.14,6.61
855,131.5,163.29,137.3,114.19,11.89,12.28,,11.97,6.62,22.9,15,90.96,6.61
856,150.1,154.93,148.8,112.42,12.09,12.42,0.4,11.97,6.42,20.22,12.7,84.65,6.42
857,159.5,166.84,159.9,115.62,11.9,12.28,,11.97,6.62,26.16,14,95.74,6.61
858,182.3,143.61,173.9,115.25,11.86,12.28,0.41,11.97,6.6,25.22,15.9,102.49,6.61
859,180.4,160.38,161.6,110.79,12.06,12.33,,11.97,6.62,22.71,26.5,100.79,6.62
860,155.6,154.98,144.5,107.53,11.91,12.16,,11.98,6.62,22.95,17.8,88.62,6.62
861,184.1,145.61,160.1,108,12.05,12.3,0.38,11.97,6.4,22.57,14.1,99.66,6.41
862,170.8,166.67,157.6,114.61,11.84,12.2,,11.97,6.6,27.15,18.1,101.93,6.64
863,146.3,160.02,158.5,111.58,12.08,12.26,,11.97,6.6,22.45,18.7,97.11,6.61
864,148.2,158.71,179.1,118.56,12.08,12.35,,11.97,6.62,22.11,9.8,101.46,6.63
865,143.9,157.37,157.6,114.6,11.81,12.32,0.37,11.98,6.6,25.14,29.7,100.26,6.6
866,197.8,147.55,157.1,114.38,11.85,12.28,,11.97,6.48,26.3,19.2,101.05,6.61
867,156.9,159.75,158.4,110.54,11.84,12.18,,11.98,6.62,25.47,21.9,98.54,6.62
868,174.9,164.61,151.6,113.91,11.84,12.29,0.3,11.98,6.62,25.74,12.7,95.47,6.61
869,190,155.42,161.5,109.33,11.77,12.32,,11.97,6.61,26.27,15.3,107.96,6.61
870,152.8,152.11,153.8,111.26,12.09,12.16,,11.97,6.62,21.18,21,94.93,6.61
871,153.3,163.83,141,108.48,11.9,12.32,,11.97,6.62,23.98,17.9,87.58,6.61
872,148.6,144.75,151.7,113.27,12.11,12.23,0.38,11.97,6.43,18.76,18.4,89.54,6.41
873,147.1,156.13,169.5,111.26,12.08,12.15,,11.97,6.62,24.76,21.4,100.53,6.61
874,157.4,159.91,178.3,111.53,11.83,12.25,0.36,11.98,6.6,24.9,17.5,93.07,6.63
875,134,154.83,151.2,112.6,11.89,12.23,,11.97,6.62,26.82,16.9,101.88,6.63
876,157.8,150.13,152.7,116.57,11.88,12.26,,11.97,6.62,24.09,10.7,95.46,6.61
877,154.4,161.84,148.5,117.23,11.82,12.29,0.37,11.97,6.62,27.67,20.5,107.47,6.63
878,172.2,143.86,152.6,121.61,11.84,12.24,0.38,11.97,6.61,23.67,13,92.9,6.64
879,139.8,158.01,163.1,110.97,11.89,12.23,,11.97,6.62,23.06,22.3,90.99,6.63
880,149.2,137.1,142.7,114.74,12.11,12.27,0.41,11.97,6.41,21.49,15.5,93.93,6.43
881,147.5,156.76,137.6,113.09,12.07,12.21,,11.97,6.62,22.97,26.9,100.18,6.62
882,167,163.51,145.1,118.16,11.85,12.26,,11.97,6.6,23.93,15.1,95.21,6.61
883,166.4,159.71,153.9,115.85,11.84,12.18,,11.97,6.61,26.48,24.8,105.16,6.61
884,154.6,171.4,137.8,112.72,11.89,12.26,,11.97,6.61,24.69,14.5,99.3,6.61
885,163.5,150.02,153.1,110.46,12.05,12.29,0.41,11.97,6.41,23.39,13.1,103.73,6.41
886,165.5,174.32,164.3,114.91,12.07,12.21,,11.97,6.61,25.33,24.7,107.26,6.6
887,160.3,173.78,197.4,111.07,12.07,12.25,,11.97,6.6,26.7,19.7,96.6,6.57
888,156.4,137.28,150.9,115.98,12.11,12.24,0.39,11.97,6.4,21.86,26.7,94.36,6.41
889,157,144.69,163.9,114.41,11.84,12.25,,11.97,6.61,26.56,14.9,107,6.62
890,145.9,165.69,152.3,110.97,11.74,12.27,,11.97,6.61,26.76,12,104.12,6.6
891,195.9,151.64,184.9,111.64,11.91,12.24,,11.97,6.63,25.56,13.2,99.02,6.61
892,173.7,165.73,176,117.45,11.83,12.19,0.38,11.97,6.6,28.57,20,100.13,6.6
893,144.1,175.88,131.5,110.89,11.92,12.2,,11.97,6.6,26.48,15.2,96.11,6.61
894,149.4,161.89,150.9,114.46,12.09,12.34,,11.98,6.62,23.45,26.9,102.74,6.6
895,164.4,152.69,173.7,109.51,12.04,12.25,0.41,11.97,6.4,20.99,16.2,90.68,6.41
896,158.5,160.19,176.2,111.56,12.13,12.24,0.41,11.97,6.4,20.15,18.7,96.19,6.41
897,172.4,173.55,162.1,113.65,12.06,12.18,,11.97,6.62,25.24,21.7,102.75,6.63
898,171.7,166.35,186,112.96,11.74,12.14,,11.97,6.61,26.14,24.7,99.32,6.61
899,197.9,152.73,160.9,110.49,11.75,12.24,,11.97,6.44,21.76,15.7,90.68,6.62
900,146.2,168.47,151.8,108.94,11.78,12.21,0.38,11.97,6.61,25.48,13.4,104.56,6.6
901,132.4,152.17,173.8,109.42,12.12,12.29,0.39,11.97,6.41,19.29,20.4,81.09,6.41
902,145.2,145.18,139.9,102.42,12.13,12.31,0.39,11.97,6.4,19.59,11.8,82.05,6.41
903,163.6,169.7,158.6,116.38,12.06,12.34,,11.97,6.6,23.02,15.6,97.76,6.62
904,155.8,171.63,151.5,113.37,11.86,12.2,,11.97,6.62,23.74,19.3,95.04,6.61
905,138.1,138.89,139.6,110.42,11.85,12.2,0.39,11.97,6.61,23.29,14.5,96.21,6.62
906,138,179.68,178.6,113.1,11.88,12.16,,11.97,6.63,24.81,22.2,98.12,6.61
907,165.3,143.48,161.4,114.26,12.06,12.25,0.41,11.97,6.41,22.48,14.4,98.81,6.41
908,154,155.1,144.2,113.15,11.82,12.26,0.39,11.97,6.61,25.38,15.2,98.99,6.61
909,140,148.45,152.3,110.33,11.9,12.34,,11.98,6.63,23.48,12.9,88.99,6.62
910,183.5,137.54,168.9,110.39,12.04,12.21,0.41,11.97,6.41,24.49,12,103.64,6.41
911,147.7,149.82,171.6,117.49,12.12,12.28,0.4,11.97,6.41,20.96,17.7,98.19,6.4
912,187.7,146.52,165.5,112.56,12.05,12.25,0.41,11.97,6.41,23.72,14.1,100.69,6.4
913,173,178.72,190,114.66,12.06,12.13,,11.98,6.6,25.01,18.2,96.97,6.6
914,132.4,169.58,149.8,113.53,12.07,12.18,,11.97,6.61,24.72,21.3,103.31,6.61
915,145.2,142.61,153.1,112.4,12.12,12.32,0.39,11.97,6.41,17.67,17.8,88.6,6.41
916,166,158.42,175.9,113.31,11.9,12.25,,11.97,6.61,24.03,14.7,92.5,6.61
917,168,184.37,170,112.53,12.09,12.23,,11.97,6.62,23.41,23.1,101.39,6.62
918,160.2,174.07,159.8,113.6,11.88,12.39,,11.97,6.6,22.97,9,96.34,6.61
919,181.2,167.17,160.7,109.77,11.93,12.26,,11.97,6.6,30.44,33.1,97.94,6.64
920,153.6,174.26,150.1,109.22,12.07,12.22,,11.98,6.62,25.39,18.7,105.76,6.62
921,197.7,158.53,161.3,117.43,11.84,12.34,,11.97,6.44,26.57,17.9,104.31,6.61
922,160.2,143.07,132.1,114.42,12.13,12.28,0.41,11.97,6.4,18.48,13.6,82.91,6.4
923,174.6,166.59,163.9,113.82,11.88,12.23,,11.97,6.63,24.4,19.7,97.72,6.61
924,185,140.73,192.7,112.7,12.13,12.24,0.4,11.97,6.42,17,20.2,82.23,6.4
925,169.3,169.11,167.1,115.92,12.06,12.32,,11.97,6.6,23.21,13.4,101.63,6.61
926,147.8,144.27,151.7,114.23,12.12,12.21,0.39,11.97,6.41,17.5,18.1,78.39,6.4
927,162.2,158.12,170.7,114.1,11.87,12.3,,11.97,6.61,23.09,19.7,93.38,6.62
928,159,156.07,154.1,112.21,12.12,12.2,,11.98,6.61,24.17,19.7,104.51,6.61
929,130.9,153.4,157,111.88,12.11,12.29,0.4,11.97,6.41,18.99,10.1,78.58,6.43
930,141.2,152.15,139.6,110.84,11.89,12.24,,11.97,6.62,25.3,14.4,96.08,6.62
931,164.1,133.59,182.1,111.68,12.06,12.26,0.41,11.97,6.42,20.51,16.1,100.66,6.41
932,197.5,176.86,120.3,111.26,12.05,12.34,,11.97,6.57,23.09,23.5,103.31,6.63
933,133.9,176,148.2,108.69,11.9,12.36,,11.97,6.61,28.17,11.1,112.3,6.6
934,165,148.1,145.2,113.42,11.85,12.27,0.41,11.97,6.6,24.12,15,93.78,6.62
935,167.4,152.2,144.9,115.26,11.73,12.36,,11.97,6.61,24.32,8.7,98.05,6.61
936,164.1,155.02,163.8,110.26,11.91,12.34,,11.97,6.63,25.21,14.5,97.69,6.62
937,162.7,151.81,159.2,115.03,11.88,12.27,,11.97,6.63,22.19,18.2,90.08,6.6
938,187.2,140.42,181.8,113.53,11.86,12.27,0.31,11.97,6.62,24.72,14.1,93.78,6.61
939,134.8,183.71,159.9,114.41,12.06,12.22,,11.97,6.6,24.81,15.8,106.46,6.62
940,168.2,159.98,157.7,113.69,12.09,12.3,,11.98,6.62,22.64,10,100.06,6.61
941,163.6,150.47,197.7,113.06,11.86,12.24,,11.97,6.61,25.06,14.9,98.8,6.35
942,167.1,160.72,154.4,110.79,11.83,12.16,,11.97,6.61,24.74,16.4,100.27,6.62
943,131.3,151.55,152.7,109.92,11.9,12.36,,11.97,6.62,22.03,15.4,88.8,6.61
944,155.7,144.09,176.9,110.21,12.06,12.19,0.41,11.97,6.4,21.71,24.9,92.4,6.4
945,156.5,153.15,190.6,113.94,11.85,12.31,0.37,11.97,6.61,24.8,46.8,102.61,6.6
946,129,150.17,144.6,115.7,11.82,12.18,0.38,11.97,6.62,24.77,28.3,95.98,6.61
947,145.5,173.82,149.2,106.6,11.89,12.2,,11.98,6.6,26.28,15.9,105.62,6.61
948,169.6,149.92,145.3,112.35,12.1,12.29,0.39,11.97,6.43,28.31,14.4,97.81,6.4
949,173.8,151.36,170.6,113.66,11.84,12.36,0.37,11.97,6.6,26.36,29.2,97.12,6.61
950,176,165.18,147.4,111.9,11.82,12.14,0.4,11.97,6.61,24.78,23.3,107.42,6.63
951,156.1,174.1,151.1,111.22,12.06,12.25,,11.97,6.62,23.25,23.8,103.34,6.61
952,197.8,156.15,163.9,114.7,12.13,12.21,0.39,11.97,6.37,20.99,17.1,99.87,6.41
953,155.6,141.05,145.3,113.89,11.89,12.25,,11.97,6.61,23.44,16.7,91.52,6.64
954,148.2,172.59,160.1,113.9,11.88,12.33,,11.97,6.62,24.35,16,96.06,6.6
955,147,165,145.3,114.14,11.82,12.17,,11.97,6.6,29.05,23.9,107.04,6.61
956,159,149.2,192.5,112.65,12.13,12.29,0.4,11.97,6.41,19.89,13.4,91.86,6.41
957,154.5,162.78,142.3,110.82,11.88,12.3,,11.97,6.6,24.3,13.1,93.93,6.61
958,166.1,159.02,177.3,113.45,11.85,12.19,0.36,11.97,6.6,26.13,20.1,102.84,6.61
959,142.3,165.91,179.7,114.65,11.89,12.28,,11.97,6.61,25.72,12.6,98.87,6.6
960,184.6,144.15,155.3,114.1,12.06,12.26,0.41,11.97,6.42,19.44,12.3,91.42,6.42
961,157.2,160.4,169.1,115.23,11.89,12.21,,11.97,6.6,24.07,14.1,90.49,6.63
962,197.8,140.63,159.8,117.86,12.12,12.29,0.41,11.97,6.4,19.87,15.7,84.2,6.42
963,152.3,137.35,141.6,108.93,12.11,12.2,0.39,11.97,6.41,18.18,19,81.69,6.41
964,167.3,150.96,164.3,113.81,12.11,12.35,0.4,11.97,6.4,20.93,9.4,97.35,6.44
965,163.2,156.13,179.4,114.3,11.84,12.24,0.39,11.97,6.61,25.43,35.6,103.19,6.61
966,168.6,147.13,164.5,117.55,12.04,12.29,0.41,11.97,6.41,21.56,11.1,91.59,6.41
967,167.5,164.2,159.1,109.05,12.09,12.28,,11.97,6.62,21.46,16.9,99.22,6.6
968,181.2,162.8,189,114.86,12.08,12.23,,11.97,6.62,21.07,28.3,105.61,6.6
969,138,164.41,149.1,112.58,11.88,12.2,,11.97,6.62,24.24,15.6,91.6,6.62
970,170.9,141.67,170,109.95,12.06,12.36,0.41,11.97,6.41,23.4,12.2,103.61,6.4
971,147.1,147.92,151.8,107.7,11.86,12.19,0.38,11.98,6.61,23.93,27.6,102.98,6.6
972,150.9,163.28,155.3,112.5,11.81,12.05,0.37,11.97,6.61,26.84,36.7,94.82,6.6
973,163.3,153.35,143.4,114.38,12.1,12.19,0.38,11.97,6.4,19.24,18.4,85.53,6.42
974,158,169.04,161.8,115.77,12.08,12.13,,11.97,6.61,25.17,45.5,106.74,6.6
975,149.6,176.28,163.9,110.65,12.06,12.39,,11.97,6.62,25.95,11.7,101.3,6.64
976,163.8,156.7,163.9,115.39,12.1,12.15,,11.97,6.63,23.16,15.5,103.57,6.61
977,184,150.06,157.2,113.8,11.83,12.21,0.38,11.97,6.61,23.41,14.7,92,6.62
978,171.5,181.23,181,109.69,12.06,12.34,,11.97,6.62,22.72,13.8,97.86,6.63
979,172.5,167.49,166.4,106.12,11.75,12.35,,11.97,6.61,25.56,18,105.95,6.6
980,181.9,151.06,170.9,111.13,11.75,12.24,,11.97,6.61,25.48,19.2,110.98,6.61
981,154.2,143.88,150.6,115.79,12.04,12.37,0.41,11.97,6.41,22.32,11.6,96.39,6.41
982,163.5,146.52,154.8,118.32,12.04,12.29,0.41,11.97,6.41,24.04,17.9,96.93,6.44
983,166.7,168.2,150.8,110.54,11.89,12.23,,11.97,6.61,25.22,13.7,94.46,6.61
984,147.4,175.66,161.7,115.47,12.07,12.22,,11.98,6.62,24.6,14.8,102.08,6.61
985,166.5,171.92,168.2,110.89,12.06,12.26,,11.98,6.6,22.9,18.1,100.58,6.61
986,172.2,165.18,197.4,115.56,11.82,12.17,0.33,11.97,6.6,29.23,16.5,102.21,6.58
987,150.7,152.5,190,110.15,12.11,12.2,0.4,11.97,6.44,20.03,13,83.39,6.41
988,173.5,149,163.9,116.19,12.12,12.25,0.39,11.97,6.4,18.3,15.6,81.46,6.42
989,142.8,170.69,153.5,116.64,12.07,12.23,,11.97,6.62,24.47,19.9,103.79,6.6
990,153.6,141.07,174,119.76,12.06,12.21,0.38,11.97,6.41,23.19,20.6,99.02,6.41
991,164.4,153.05,168.8,115.9,11.91,12.35,,11.97,6.62,24.57,9.8,94.36,6.62
992,156.8,158.42,155.2,111.43,11.89,12.32,,11.97,6.62,22.04,11,90.87,6.61
993,152,161.08,190,110.07,12.12,12.31,0.38,11.97,6.42,19.47,12.6,84.04,6.41
994,157.1,161.71,157.5,113.81,11.82,12.25,0.38,11.97,6.61,26.41,20.5,106.64,6.61
995,149.4,140.03,154.1,112.58,12.11,12.29,0.41,11.97,6.41,23.62,14.6,99.93,6.43
996,154,170.24,176.4,111.65,11.76,12.38,,11.97,6.61,25.1,24.6,111.89,6.6
997,173.5,153.24,152.3,116.71,12.09,12.26,0.39,11.97,6.4,18.36,25.8,83.8,6.41
998,154.9,155.88,144.3,116.25,12.08,12.25,,11.97,6.62,22.98,19,95.34,6.62
999,147.3,149.81,159,115.06,12.12,12.2,0.39,11.97,6.41,23.35,17.4,94.88,6.41
1000,140.7,162.76,151.7,109.07,11.82,12.33,0.33,11.97,6.61,26.21,13.3,106.94,6.61
1001,170,147.28,156.5,113.83,12.11,12.25,0.39,11.97,6.4,19.22,18.7,86.44,6.44
1002,156.3,148.95,158.7,117.63,11.76,12.36,,11.97,6.61,24.87,11.2,101.94,6.61
1003,147.6,156,139.2,113.15,11.82,12.31,0.38,11.97,6.63,24.85,18.8,97.85,6.61
1004,148.7,162.59,172.8,112.76,11.89,12.24,,11.97,6.61,23.61,14,101.45,6.61
1005,179.6,141.39,142.5,109.34,11.83,12.36,0.33,11.97,6.61,25.21,9.5,104.53,6.6
1006,147.5,176.38,152.3,110.64,11.9,12.28,,11.97,6.61,25.12,12.3,107.97,6.61
1007,131.4,137.36,149.8,112.87,12.06,12.36,0.41,11.97,6.41,24.43,13.2,102.91,6.41
1008,153.2,153.13,152.9,112.87,12.11,12.3,0.38,11.97,6.4,22.88,20.3,97.72,6.4
1009,148.7,148.25,148.6,110.32,12.09,12.17,,11.98,6.61,24.01,24,95.8,6.6
1010,148.8,157.03,164,112.41,12.09,12.14,,11.97,6.62,23.26,31.3,103.14,6.61
1011,149,136.68,148.8,112.09,11.87,12.3,0.36,11.97,6.61,24.61,21.7,96.43,6.63
1012,174.1,162.11,131.2,111.37,12.08,12.48,,11.98,6.61,23.26,9,104.37,6.61
1013,148.9,158.2,154.6,113.24,12.11,12.19,0.37,11.97,6.4,17.99,24.7,81.76,6.41
1014,137.5,165.31,131.3,111.13,11.84,12.18,,11.97,6.61,31.41,19.6,103.72,6.61
1015,156,148.71,178.1,116.37,12.12,12.39,0.4,11.97,6.4,19.33,13.9,92.54,6.41
1016,135.9,166.41,159.6,115.53,12.07,12.24,,11.97,6.6,21.94,13.2,99.68,6.63
1017,132,150.49,152.6,107.05,11.9,12.29,,11.98,6.6,23.01,12.9,85.42,6.61
1018,160,169.61,180.8,114.69,12.08,12.36,,11.97,6.62,24.24,11.6,103.12,6.6
1019,197.8,142.74,113.7,121.13,11.77,12.25,,11.97,6.54,23.97,10.4,94.19,6.61
1020,148.7,148.16,146.9,114.6,12.09,12.4,0.36,11.98,6.4,24.23,9.2,98.54,6.41
1021,145.7,159.12,160.4,113.3,12.12,12.26,0.36,11.97,6.42,20.54,18.4,94.15,6.44
1022,153.3,142.85,163.7,110.41,12.13,12.17,0.39,11.97,6.41,15.46,22.5,80.24,6.41
1023,151,152.79,162.2,110.62,12.1,12.2,0.4,11.97,6.41,22.62,15.9,97,6.4
1024,151.2,148.61,155.6,113.53,11.85,12.36,0.39,11.97,6.63,25.58,13.8,100.53,6.63
1025,164.9,162.81,149,119.3,11.87,12.27,,11.97,6.61,23.92,12.8,96.33,6.62
1026,162.3,164,170.5,109.48,11.76,12.31,,11.97,6.61,24.24,10.5,94.57,6.6
1027,141.9,145.29,152.6,115.89,11.78,12.27,,11.97,6.6,24.82,18.8,94.81,6.61
1028,138.5,162.88,134.7,134.03,12.04,12.3,0.41,11.97,6.41,24,14.4,108.95,6.41
1029,164,164.03,158.9,110.46,12.12,12.29,0.4,11.97,6.41,31.97,14,105.24,6.41
1030,176.6,159.92,196.6,117.29,12.07,12.17,,11.97,6.62,21.59,13.4,97.72,6.61
1031,165.5,140.89,149.9,111.73,12.11,12.34,0.41,11.97,6.4,23.38,11.3,101.83,6.41
1032,146.8,151.5,131.7,116.15,12.1,12.16,0.4,11.97,6.41,18.35,23.4,80.78,6.41
1033,141.4,175.54,155.9,118.62,12.07,12.34,,11.97,6.62,23.98,11.4,100.59,6.63
1034,139.8,159.19,175.5,117.68,11.81,12.3,0.37,11.97,6.61,26.14,14.7,112.23,6.62
1035,168.3,142.88,140.2,106.83,11.82,12.45,0.36,11.97,6.61,21.66,8,91.5,6.62
1036,197.7,149.11,161.3,118.6,12.14,12.37,0.4,11.97,6.24,18.96,15.3,84.81,6.41
1037,147.9,152.52,164,111.79,12.12,12.14,0.39,11.97,6.4,18.67,22.1,79.44,6.4
1038,139.5,177.58,117.8,115.49,12.07,12.24,,11.97,6.62,23.55,20.1,98.48,6.61
1039,164.7,161.17,160,111.57,11.79,12.36,0.35,11.97,6.61,27.29,8.5,96.1,6.61
1040,170.4,173.02,167.1,110.36,12.06,12.12,,11.97,6.62,23.66,26.3,101.6,6.61
1041,167.5,165.97,158.9,111.66,11.83,12.22,,11.97,6.61,27.14,49.6,102.74,6.61
1042,174.6,139.98,149.1,114,12.08,12.22,0.41,11.97,6.41,21.74,21.6,90.63,6.4
1043,157,183.31,157.5,107.13,12.06,12.29,,11.97,6.62,23.65,15.1,98.98,6.61
1044,156.5,147.64,151.2,111.17,12.12,12.23,0.39,11.97,6.41,17.26,12.2,76.96,6.42
1045,159.7,146.67,148.1,114.57,12.1,12.28,0.38,11.97,6.42,17.17,14.7,79.71,6.41
1046,164.4,163.52,153.7,111.75,12.07,12.2,,11.97,6.62,23.45,19.5,97.67,6.6
1047,153.9,168.29,169.1,114.69,11.88,12.26,,11.97,6.62,22.5,14.7,98.59,6.62
1048,170.2,153.91,144.9,117.64,12.04,12.16,0.41,11.97,6.4,23.11,20.2,98.81,6.41
1049,149.9,165.75,147.2,111.32,11.82,12.14,0.38,11.97,6.61,26.75,13.7,99.82,6.61
1050,161.6,158.64,146.9,115.11,11.89,12.36,,11.97,6.62,22.81,9.7,88.12,6.64
1051,156,167.74,148,115.94,12.07,12.29,,11.97,6.62,21.51,13.5,98.81,6.61
1052,151.5,164.88,169.2,118.89,11.95,12.21,,11.97,6.61,26.77,17.7,100.76,6.61
1053,174.6,163.35,158.3,112.59,12.08,12.39,,11.97,6.6,25.14,12.5,107.01,6.64
1054,155,170.56,150,113.82,11.83,12.17,0.39,11.98,6.61,24.26,18.2,103.95,6.61
1055,148.8,156.69,157.7,111.93,12.09,12.23,,11.97,6.62,21.32,26.4,101.28,6.62
1056,149.3,164.43,145.9,118.75,11.9,12.23,,11.97,6.62,23.59,24.1,92.42,6.6
1057,175.7,164.92,169.3,115.62,11.85,12.23,,11.97,6.6,28.45,14.7,104.34,6.6
1058,160.7,154.1,161.6,109.16,11.82,12.27,0.41,11.97,6.6,22.5,13.9,97.62,6.61
1059,185.9,149,144,112.14,11.86,12.16,,11.97,6.6,25.99,23.7,96.13,6.61
1060,162.1,160.62,173.2,128.12,12.07,12.19,,11.97,6.61,24.1,19.1,107.62,6.65
1061,165.8,154.02,133.2,111.85,12.07,12.25,0.41,11.97,6.43,23.8,19.5,106.35,6.41
1062,144.1,154.52,174.9,108.99,12.1,12.37,0.41,11.97,6.41,21.71,12.5,98.97,6.4
1063,161.6,183.1,142.6,114.59,12.06,12.2,,11.98,6.62,26.69,18.5,106.51,6.63
1064,155.8,157.93,153.8,117.23,11.89,12.27,,11.97,6.62,24.09,20.2,89.42,6.6
1065,167.4,162.48,165.2,116.46,11.87,12.22,,11.97,6.61,25.75,16.6,100.58,6.61
1066,157.9,160.39,150.2,114.1,12.07,12.17,,11.97,6.6,23.15,18.7,98.19,6.62
1067,141.9,164.39,155,114.66,12.09,12.17,,11.97,6.61,24.6,18.5,98.28,6.6
1068,171.5,147.17,173,118.52,11.84,12.2,,11.97,6.61,23.37,11.9,101.54,6.61
1069,148.5,139.87,176.3,107.61,12.04,12.39,0.41,11.98,6.41,23.47,10.9,105.89,6.41
1070,133.8,168.75,168,118.6,11.81,12.16,0.39,11.97,6.61,24.1,44.2,108.9,6.62
1071,147.3,142.99,152.2,120.7,12.12,12.33,0.4,11.97,6.41,18.16,21,81.19,6.41
1072,166,163.14,152.3,111.38,11.81,12.31,0.4,11.97,6.6,25.06,9,103.28,6.62
1073,177.4,144.09,188.6,111.39,11.71,12.26,,11.97,6.62,23.13,14,96.81,6.61
1074,154.6,146.23,175.3,113.86,11.84,12.3,,11.97,6.61,26.92,15.2,106.11,6.62
1075,153.5,152.6,154.1,117.67,12.13,12.27,0.4,11.97,6.42,21.01,17.6,92.72,6.41
1076,164.2,147.31,159.3,111,11.86,12.22,,11.97,6.6,27.01,21.1,100.49,6.62
